State,Indicator,Value,Definition,Source_Label
Oklahoma,Max_BoardingSchool_Duration_Years,142.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Oklahoma,Mean_BoardingSchool_Duration_Years,142.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Oklahoma,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Oregon,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Oregon,Environmental_Burden_Index,5.0,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Oregon,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
Oregon,Max_BoardingSchool_Duration_Years,95.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Oregon,Mean_BoardingSchool_Duration_Years,95.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Oregon,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
South Dakota,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
South Dakota,Environmental_Burden_Index,7.7,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
South Dakota,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
South Dakota,Max_BoardingSchool_Duration_Years,89.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
South Dakota,Mean_BoardingSchool_Duration_Years,89.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
South Dakota,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Texas,Environmental_Burden_Index,8.7,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Texas,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
Utah,Environmental_Burden_Index,6.9,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Utah,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
Washington,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Washington,Environmental_Burden_Index,5.2,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Washington,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
Washington,Max_BoardingSchool_Duration_Years,37.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Washington,Mean_BoardingSchool_Duration_Years,37.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Washington,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
