Outcome,Indicator,N,Spearman_Rho,Kendall_Tau_b,Descriptive_Bootstrap_CI_Lower,Descriptive_Bootstrap_CI_Upper,CI_Interpretation,Permutation_P_Value,Permutation_Mode,Partial_Spearman_Rho,Partial_Permutation_P_Value,Confounders_Used,Holm_Adjusted_P_Within_Outcome,BH_FDR_Adjusted_P_Within_Outcome
Disparity_Ratio_Suicide,BoardingSchool_Count,11,0.20956774188597443,0.14679516868351475,-0.5925006266756093,0.818204659661946,descriptive_only_not_for_inference,0.6685331466853315,permutation,0.033009849287949186,0.9228077192280771,AI_AN_Population_Percent,1.0,0.9512048795120488
Disparity_Ratio_Suicide,Environmental_Burden_Index,15,0.04830061395837283,0.14423743716582887,-0.475759785570724,0.6953388811971767,descriptive_only_not_for_inference,0.8866113388661134,permutation,0.09660673718286254,0.7229277072292771,AI_AN_Population_Percent,1.0,0.9512048795120488
Disparity_Ratio_Suicide,Federal_BoardingSchool_Presence,15,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,-0.14617172261759517,0.5946405359464053,AI_AN_Population_Percent,0.0005999400059994001,0.00029997000299970003
Disparity_Ratio_Suicide,Max_BoardingSchool_Duration_Years,11,-0.009111640951564104,-0.03669879217087869,-0.7529054853147141,0.6585423650445036,descriptive_only_not_for_inference,0.9512048795120488,permutation,-0.29551361774110013,0.37066293370662934,AI_AN_Population_Percent,1.0,0.9512048795120488
Disparity_Ratio_Suicide,Mean_BoardingSchool_Duration_Years,11,-0.009111640951564104,-0.03669879217087869,-0.7529054853147141,0.6585423650445036,descriptive_only_not_for_inference,0.9512048795120488,permutation,-0.29551361774110013,0.37066293370662934,AI_AN_Population_Percent,1.0,0.9512048795120488
Disparity_Ratio_Suicide,Schools_With_Burial_Site_Flag,11,0.5,0.42640143271122083,0.5022883414749454,0.8006802924974737,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,0.4537426064865151,0.1523847615238476,AI_AN_Population_Percent,0.0005999400059994001,0.00029997000299970003
Mean_Mortality_Disparity_Ratio,BoardingSchool_Count,13,0.5427017838141499,0.4415956834462115,-0.012305383533210179,0.9147847650231125,descriptive_only_not_for_inference,0.16928307169283072,permutation,0.20093460980798572,0.5143485651434857,AI_AN_Population_Percent,0.6771322867713229,0.33856614338566143
Mean_Mortality_Disparity_Ratio,Environmental_Burden_Index,19,-0.37258405518938803,-0.2307853922112822,-0.649892301472112,0.03137927533569911,descriptive_only_not_for_inference,0.12768723127687232,permutation,-0.2835009070396231,0.24277572242775722,AI_AN_Population_Percent,0.6384361563843616,0.33856614338566143
Mean_Mortality_Disparity_Ratio,Federal_BoardingSchool_Presence,19,,,,,descriptive_only_not_for_inference,9.999000099990002e-05,permutation,-0.12997213145924705,0.587941205879412,AI_AN_Population_Percent,0.0005999400059994001,0.0005999400059994001
Mean_Mortality_Disparity_Ratio,Max_BoardingSchool_Duration_Years,13,0.26409928698275015,0.16774542658006547,-0.4254141879256344,0.7696629213483146,descriptive_only_not_for_inference,0.5005499450054994,permutation,0.10854811327576956,0.7154284571542846,AI_AN_Population_Percent,1.0,0.5005499450054994
Mean_Mortality_Disparity_Ratio,Mean_BoardingSchool_Duration_Years,13,0.26409928698275015,0.16774542658006547,-0.4254141879256344,0.7696629213483146,descriptive_only_not_for_inference,0.5005499450054994,permutation,0.10854811327576956,0.7154284571542846,AI_AN_Population_Percent,1.0,0.5005499450054994
Mean_Mortality_Disparity_Ratio,Schools_With_Burial_Site_Flag,13,0.39886201760873286,0.3379631847096873,-0.0775791113542719,0.7412756675716695,descriptive_only_not_for_inference,0.49845015498450157,permutation,0.0934580272210468,0.7567243275672433,AI_AN_Population_Percent,1.0,0.5005499450054994
