State,Structural_Exposure_Composite,Scheme,Scheme_Type,Normalization_Method,Scheme_Note,Rank,Primary_Score,Primary_Rank,Score_Delta_vs_Primary,Rank_Shift_vs_Primary
Oregon,0.14737346963997475,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,6.0,-0.19718357586024285,11.0,0.3445570455002176,-5.0
Nevada,0.1268134606395308,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,7.0,-0.21288394636967276,12.0,0.3396974070092036,-5.0
California,0.05438581345851915,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,8.0,0.6095660548212583,3.0,-0.5551802413627391,5.0
Minnesota,-0.0815911633727556,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,9.0,0.004152869946428222,9.0,-0.08574403331918382,0.0
Michigan,-0.4859391671170533,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,10.0,-0.1917673196079359,10.0,-0.2941718475091174,0.0
New York,-0.6015255847453306,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,11.0,-0.3176515278075324,14.0,-0.28387405693779816,-3.0
Washington,-0.7058698040506991,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,12.0,-0.8236723556411192,16.0,0.11780255159042008,-4.0
North Carolina,-1.8929165082027009,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,13.0,-1.3790410297418936,18.0,-0.5138754784608073,-5.0
Colorado,,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,,-0.67375190421782,15.0,,
Florida,,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,,0.22812072347532591,6.0,,
Idaho,,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,,0.6525313718015117,2.0,,
Montana,,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,,-0.9390085594216865,17.0,,
New Jersey,,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,,0.6525313718015117,2.0,,
Texas,,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,,0.6525313718015117,2.0,,
Utah,,leave_out_Environmental_Burden_Index,leave_one_indicator_out,zscore,Configured weights after removing Environmental_Burden_Index.,,-0.30239258693240695,13.0,,
Oklahoma,1.4107009946719602,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,1.0,1.5065087234745833,1.0,-0.09580772880262312,0.0
California,0.7222125982404177,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,2.0,0.6095660548212583,3.0,0.11264654341915947,-1.0
Idaho,0.6525313718015117,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,3.0,0.6525313718015117,2.0,0.0,1.0
New Jersey,0.6525313718015117,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,3.0,0.6525313718015117,2.0,0.0,1.0
Texas,0.6525313718015117,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,3.0,0.6525313718015117,2.0,0.0,1.0
Alaska,0.4172579122940259,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,4.0,0.4085862544162295,4.0,0.008671657877796446,0.0
South Dakota,0.26904696925244653,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,5.0,0.2509263213097866,5.0,0.01812064794265994,0.0
Florida,0.22812072347532591,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,6.0,0.22812072347532591,6.0,0.0,0.0
Arizona,0.1404486572685868,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,7.0,0.20637024435278886,7.0,-0.06592158708420207,0.0
Minnesota,0.09347447694803039,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,8.0,0.004152869946428222,9.0,0.08932160700160217,-1.0
New Mexico,-0.008784408446436354,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,9.0,0.0721383185618106,8.0,-0.08092272700824696,1.0
Michigan,-0.04218629407854044,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,10.0,-0.1917673196079359,10.0,0.14958102552939545,0.0
Utah,-0.30239258693240695,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,11.0,-0.30239258693240695,13.0,0.0,-2.0
Oregon,-0.3231274358216625,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,12.0,-0.19718357586024285,11.0,-0.12594385996141963,1.0
Nevada,-0.3645590429330023,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,13.0,-0.21288394636967276,12.0,-0.15167509656332953,1.0
New York,-0.5222646629716201,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,14.0,-0.3176515278075324,14.0,-0.2046131351640877,0.0
Washington,-0.6588188138092863,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,15.0,-0.8236723556411192,16.0,0.16485354183183287,-1.0
Colorado,-0.67375190421782,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,16.0,-0.67375190421782,15.0,0.0,1.0
Montana,-0.9390085594216865,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,17.0,-0.9390085594216865,17.0,0.0,0.0
North Carolina,-1.2115632450149891,leave_out_Max_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Max_BoardingSchool_Duration_Years.,18.0,-1.3790410297418936,18.0,0.16747778472690444,0.0
Oklahoma,1.4107009946719602,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,1.0,1.5065087234745833,1.0,-0.09580772880262312,0.0
California,0.7222125982404177,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,2.0,0.6095660548212583,3.0,0.11264654341915947,-1.0
Idaho,0.6525313718015117,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,3.0,0.6525313718015117,2.0,0.0,1.0
New Jersey,0.6525313718015117,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,3.0,0.6525313718015117,2.0,0.0,1.0
Texas,0.6525313718015117,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,3.0,0.6525313718015117,2.0,0.0,1.0
Alaska,0.4172579122940259,leave_out_Mean_BoardingSchool_Duration_Years,leave_one_indicator_out,zscore,Configured weights after removing Mean_BoardingSchool_Duration_Years.,4.0,0.4085862544162295,4.0,0.008671657877796446,0.0
